Milliseconds,X,Y,Z,,ground truth
2601,-0.07738909,-0.077293396,-0.99872017,,
2620,-0.068693936,0.09208679,-1.4701023,,
2640,0.19002116,0.054802418,-2.071197,,
2661,0.027506083,-0.028773785,-1.1962986,,
2680,0.13326466,-0.11410427,0.37293005,,
2700,0.13037336,-0.035161972,0.5806742,,
2721,0.38949823,-0.028339386,0.52323246,,
2740,0.5002034,0.046312332,0.93449163,,
2761,0.7618617,0.10624313,1.3562002,,
2781,0.77972627,0.1392932,1.0975738,,
2800,0.5170942,0.097070694,1.1970587,,
2821,0.28164262,0.020213604,1.186955,,
2841,0.19594264,0.0028438568,0.98206234,,
2860,0.16707414,-0.038607597,0.54846525,,
2881,0.06308377,0.07564306,-0.1535387,,
2900,0.10445303,0.13954163,-0.61098623,,
2921,0.119161606,0.37448502,-1.2369399,,
2940,-0.17832637,0.4204092,-0.9152274,,
2961,-0.21940184,0.30651283,0.27022982,,
2980,-0.2541026,0.16262054,1.1331363,,
3001,-0.1714629,0.09868622,1.5469208,,
3020,-0.1932655,0.22774887,1.307528,,
3041,-0.4371258,0.31628656,0.42956161,,
3060,-0.6533042,0.32843304,-0.5594387,,
3080,-0.6648648,0.24041796,-0.97515774,,
3101,-0.56874424,0.12441301,-0.9147992,,
3120,-0.42408025,0.10964823,-0.2719097,,
3140,-0.022941947,0.33313084,-0.18014956,,
3161,-0.11833811,0.3760705,-0.580246,,
3180,-0.24752766,0.34941435,-0.7822299,,
3200,-0.20148748,0.23386526,-0.7883644,,
3221,-0.1921655,0.040776253,0.045882702,,
3240,-0.27604902,-0.13088465,0.32649612,,
3260,-0.459796,-0.15916109,0.036536694,,
3281,-0.31053418,-0.22175312,-0.5701933,,
3300,-0.33456028,-0.20171547,-0.6561842,,
3320,-0.11858308,-0.27379036,-0.9678674,,
3340,-0.17555988,-0.2125969,-0.6410589,,
3361,-0.31943816,-0.3173151,-0.80240107,,
3380,-0.5161496,-0.26379776,0.11766529,,
3400,-0.32758242,-0.1487751,-0.29315138,,
3421,0.8069291,0.094717026,-0.4934759,,
3440,0.7594806,0.11783695,-1.0598369,,
3461,0.11915034,0.26527023,-1.4461398,,
3480,-0.17494142,0.10251236,-1.1080976,,
3500,0.2521993,-0.005467415,-0.84595966,,
3521,0.58194184,-0.34773445,-0.31344366,,
3540,0.62319535,-0.36925793,0.01813078,,
3560,0.27559137,-0.33977032,-0.07962179,,
3581,0.6042477,-0.3530798,-0.1919179,,
3600,0.68096685,-0.32970047,-0.108790874,,
3621,0.6432203,-0.3682356,-0.09206772,,
3641,0.36765337,-0.4001665,0.9594712,,
3660,0.06655872,0.15052032,2.5591202,,
3680,2.4052763,-1.873714,1.1009121,,
3701,2.834527,-1.4424605,2.4437356,,
3720,6.3423595,-3.8145971,1.3388734,,
3741,-1.9327632,-0.048558712,0.8948393,,
3760,1.2677008,-2.3424826,0.027126312,,
3781,1.6061703,-1.8691106,-0.65729094,,
3800,1.9357212,-2.4611607,-0.40349674,,
3820,-0.52768564,-0.5892482,-2.058999,,
3841,1.1886762,-1.7103457,-1.9437904,,
3860,0.5272844,-1.6198239,-1.9749303,,
3881,1.1761088,-1.417521,-0.1450963,,
3900,1.9982533,-1.9049301,0.7294345,,
3920,2.0468354,-2.4559126,1.129477,,
3941,1.2213411,-2.4892478,-0.7508707,,
3960,-0.7954536,-2.0107412,-2.528386,,
3980,-3.5700803,-1.6738076,-2.7101474,,
4001,-5.0818944,-0.69126177,-2.6302505,,
4020,-6.2673397,0.014672279,-1.126265,,
4040,-3.6997008,0.14740276,-1.0037141,,
4061,-2.440962,-1.0340204,-1.5066447,,
4080,-0.3712225,-1.1794624,-0.49410486,,
4100,-1.2995775,-2.1535082,0.28918648,,
4121,-1.383313,-3.522986,0.2525239,,
4140,-0.98420906,-3.713447,0.23908997,,
4160,-2.2394125,-1.5967674,1.4735274,,
4181,-1.549155,-1.4366508,0.03574133,,
4200,-7.8971615,-2.4919355,-2.6722393,,
4220,-8.261864,0.29422712,0.8084917,,
4241,-1.4739561,1.7481816,2.5162377,,
4260,7.615387,-1.4633347,3.5698624,,
4280,9.431772,-4.21034,-0.31182337,,
4301,2.0633707,-1.1068029,1.1155586,,
4320,-1.461607,-0.28055614,-0.26791668,,
4340,0.67291117,-1.2965682,-1.3362994,,
4361,2.7835164,-1.1654009,0.53205633,,
4380,3.9802976,-1.2787931,1.5635986,,
4401,3.2165837,-0.8630282,1.9776301,,
4420,2.2218008,-0.51548743,0.55446243,,
4440,3.6147518,-1.3779433,2.2933488,,
4460,5.0598283,-1.9456565,0.5620718,,
4480,11.135229,1.2273163,5.9865756,,
4500,11.549704,2.4080346,12.337824,,
4521,4.169302,0.025444686,5.652187,,
4540,-1.9904313,-1.8869836,1.4222307,,
4561,-4.408114,-3.2497027,-0.7594862,,
4580,-2.578085,-4.3868804,-0.07509518,,
4601,-2.3832645,-3.9433708,-0.44249249,,
4620,-2.1503472,-3.048778,-0.7573209,,
4640,-1.779408,-2.442195,-1.5120459,,
4661,-0.835114,-1.9038755,-1.2485409,,
4680,-0.6872921,-0.8612673,-1.4973779,,
4700,2.0443883,1.6925635,-0.5311012,,
4720,3.3480496,3.1653595,1.0266209,,
4740,1.4734974,1.9739866,-0.09520435,,
4761,0.57632446,-0.27919257,-1.9394112,,
4780,-0.65048313,-0.6685709,-1.320312,,
4800,0.80623245,-3.131088,1.3862238,,
4821,1.6607871,-3.6997688,-0.081213474,,
4840,0.325531,-1.4779592,0.31657934,,
4860,0.7181845,-1.7724831,-0.50473833,,
4881,1.3449159,-2.0812206,-1.2162275,,
4900,3.902575,-2.857899,-1.5941153,,
4920,4.710161,-2.210064,-1.84373,,
4941,4.8749766,-1.95204,-0.9405241,,
4960,3.618976,-3.4686933,-1.4687071,,
4980,-0.4643712,-3.5963454,-2.8508224,,
5001,-3.3271794,-1.8760419,-2.0805464,,
5020,-5.710002,-3.092373,-8.868137,,
5040,-6.967225,4.079516,-1.7731862,,
5061,-5.455511,6.1634655,5.536827,,
5080,-0.46282434,1.6932852,11.807938,,
5100,-1.1889443,0.15608263,5.9321966,,
5121,1.3528214,-2.5798135,2.587101,,
5140,0.03401518,-5.12643,-0.32935,,
5160,-2.056717,-3.2260332,-1.5235863,,
5181,-2.010148,0.3908378,-1.4828496,,
5201,-1.1828547,2.057738,1.1318231,,
5220,-1.0368094,0.42339742,1.6197557,,
5241,-0.86263704,0.73617923,0.8241248,,
5260,-1.6057615,0.7268566,-1.5338659,,
5281,-1.3557696,0.72739613,-1.6240215,,
5300,-1.5153532,-1.1720954,-0.63985443,,
5321,1.3063431,-4.1160054,0.3139677,,
5340,1.309197,-3.6292953,0.34555292,,
5361,0.38048124,-2.800774,-0.91541433,,
5380,0.17258167,-1.3449419,-0.52733994,,
5401,1.2439046,-1.6220734,-0.79609585,,
5420,1.4828649,-0.05607915,0.4177785,,
5440,1.4017558,0.036227465,0.37453842,,
5461,0.36210728,0.33784723,-1.331418,,
5480,-1.5828772,1.1026299,-0.93533707,,
5500,-0.7679324,0.38342977,0.18712139,,
5521,-0.54359007,-0.366863,1.1064081,,
5540,0.2792673,-1.0356507,1.2968173,,
5560,0.55313826,-1.3093243,1.078095,,
5581,1.5090442,-0.7043586,1.1008763,,
5600,0.294271,-0.007646799,0.25389242,,
5620,0.64886,-0.49922013,-0.73059034,,
5641,0.51999617,-0.9739449,-0.8587823,,
5660,0.112279415,-0.97074986,-0.65421295,,
5680,-0.92585945,-0.67653966,-1.100945,,
5701,-0.33891106,-0.037328243,-4.3973985,,
5720,0.44661617,0.62325907,-1.7662907,,
5740,-1.5263281,0.8456073,0.14459991,,
5761,-1.5985537,-0.9345257,-0.91964245,,
5780,-2.128079,0.3331945,2.20324,,
5800,-0.24738216,-1.3063602,-2.6939454,,
5821,0.2536273,-1.3357198,-1.3618851,,
5840,2.445579,-1.8259816,-1.7349043,,
5860,0.19037104,-1.7013714,3.075058,,
5880,0.8323138,-0.40080452,3.126524,,
5900,0.90445113,-1.7121401,4.046056,,
5920,0.40833426,-0.99459124,2.6118689,,
5941,-0.5000367,-0.5684881,0.95178604,,
5960,-0.8286257,0.40795612,-3.2010865,,
5980,-0.6733825,-1.28823,0.37951565,,
6001,-2.7810986,1.0601826,0.10850334,,
6021,-0.50447965,-0.09699774,1.5025897,,
6040,-2.300034,-0.078017235,1.3558087,,
6061,-1.1525137,0.17447233,0.43804693,,
6080,0.64904165,-0.9361725,0.2695446,,
6101,0.09637976,-1.3336372,2.389916,,
6120,-0.53701425,-0.6532335,0.8256202,,
6141,0.17295265,-0.4015236,0.82873917,,
6160,0.574713,-0.7893505,0.79811764,,
6181,0.41636848,-1.300353,-0.56935406,,
6200,0.40472817,-0.7231655,-0.30373764,,
6221,-0.38277674,-0.34555387,-1.1940241,,
6240,-0.21634698,-0.6115141,-0.78943014,,
6260,0.6919458,0.21419573,-0.4265709,,
6281,-0.8242848,-1.9389219,-1.304748,,
6300,-0.846647,-0.3749318,1.8972535,,
6320,-0.09270525,-0.20258665,3.43889,,
6341,0.48663998,0.4244752,1.6480932,,
6360,-1.4107695,0.40920067,0.30329227,,
6380,-1.1450369,0.9711313,0.38337898,,
6401,-0.621125,1.2003136,1.6916819,,
6420,-0.47203398,-0.009912014,1.0183082,,
6440,-1.2671735,0.9938686,-0.5276122,,
6460,-0.6194701,0.33985114,-3.5070634,,
6480,0.8749254,-0.005874634,-1.9803782,,
