Milliseconds,X,Y,Z,ground truth
2521,-0.31918654,-0.29349327,0.21527869,sb
2542,-0.17324531,0.15018938,0.23338819,sb
2561,0.0073170178,0.9054619,0.43898422,sb
2581,-0.15353791,1.0364895,0.61635077,sb
2601,-1.094699,-0.735578,0.43259263,sb
2622,-1.5612849,-2.683414,-0.47607794,sb
2641,-1.1612781,-1.6138885,-1.0033839,sb
2661,-1.2188023,1.2351613,-0.9735564,sb
2681,-1.0116074,2.9662185,-0.92668253,sb
2702,-0.43423408,2.1885753,-0.7168254,sb
2721,0.16604245,0.3989311,-0.5873958,sb
2741,0.4861544,-0.7835124,-0.16714895,sb
2761,0.48988283,-0.8484936,0.14231038,sb
2782,0.49094808,-0.52358794,0.12633142,sb
2801,0.33328897,-0.09748215,0.033653405,sb
2821,0.16071613,0.18055186,0.114613496,sb
2841,0.18042353,0.11770126,0.13485353,sb
2862,0.25925308,0.042067483,0.17746411,sb
2881,0.33435422,-0.0053367824,0.24457577,sb
2901,0.5138513,0.0037179654,0.32660112,sb
2922,0.61451876,0.08308017,0.38678855,sb
2941,0.6448788,0.18481292,0.40223488,sb
2961,0.6134535,0.30252463,0.39158225,sb
2981,0.5356892,0.33075416,0.4453781,sb
3002,0.44407645,0.23754351,0.5327298,no
3021,0.33808264,0.0356759,0.5231424,no
3041,0.10638764,-0.19335596,0.41235492,no
3061,-0.10027367,-0.16725698,0.3015674,no
3082,-0.2052022,0.100124404,0.2664137,no
3101,-0.18869062,0.31743833,0.32766637,no
3121,-0.17963587,0.37336472,0.4171486,no
3141,-0.21372433,0.25512037,0.400637,no
3161,-0.25686756,0.12036443,0.27866423,no
3182,-0.32610974,0.16404027,0.14870197,no
3201,-0.7649987,0.17842133,-0.0073592784,no
3221,-1.3397088,-0.1246464,-0.26781645,no
3241,-1.5570228,-0.32811192,-0.41002926,no
3262,-1.145298,0.15764867,-0.047306694,no
3281,-0.5519458,0.7424789,0.52420765,no
3301,-0.1024042,0.7675126,0.87894076,no
3321,-0.044347282,0.26790354,0.86083126,no
3342,-0.42411408,-0.594428,0.5646877,no
3361,-0.8763188,-1.482326,0.06933976,no
3381,-0.9370389,-1.6783346,-0.5154904,no
3401,-0.5769795,-0.2716529,-0.7136296,no
3421,-0.2589981,1.4242481,-0.37860397,no
3442,-0.005997764,1.8311791,-0.08618885,no
3461,0.32316893,0.9693802,0.17053989,no
3481,0.5223734,0.13900654,0.32020953,no
3501,0.518645,-0.2402276,0.3495043,no
3522,0.22836041,-0.24182549,0.20622624,no
3541,-0.020911466,-0.11772218,0.06348081,no
3561,-0.11625264,0.15019183,0.04270815,no
3582,-0.29628235,0.14273497,0.3511022,no
3601,0.016372789,0.39200684,0.3431127,no
3622,0.34181106,0.026621152,0.519414,no
3642,0.43608698,-0.116656914,0.6360604,no
3661,0.3258321,-0.060730536,0.6515068,no
3681,0.07070127,0.12728864,0.5348603,no
3701,-0.17111374,0.10545072,0.23765156,no
3722,-0.18815798,0.024490623,0.055491325,no
3741,-0.053934664,0.16190973,0.08052503,no
3762,0.06857075,0.2535225,0.15296303,no
3781,0.065374956,0.07668858,0.1657462,no
3801,0.10638764,-0.32225296,0.12207035,no
3821,0.0446023,-0.54755634,-0.002032956,no
3842,-0.29468444,-0.9502263,-0.25929433,no
3861,-0.3815035,-1.1126792,-0.5282736,no
3881,-0.3207834,-0.43730152,-0.6076358,no
3901,-0.29788023,0.29826358,-0.43506297,no
3921,-0.15300426,0.6780304,-0.16714895,no
3942,0.102126576,0.52250177,0.058154486,no
3961,0.27363414,0.301992,0.21794416,no
3981,0.28215626,-0.12038534,0.31222004,no
4001,0.18521722,-0.5715248,0.21421574,no
4022,0.13301925,-0.81387246,0.007021792,no
4041,0.17882563,-0.68124706,-0.119212046,no
4061,0.2033267,-0.11985271,-0.1778016,no
4082,0.23688254,0.07455806,-0.18099739,no
4101,0.34660476,-0.017054692,-0.17194264,no
4121,0.40199852,-0.24502128,-0.087254114,no
4141,0.34767002,-0.4719226,-0.053165648,no
4162,0.31358156,-0.61626595,-0.09577623,no
4181,0.16764152,-0.6849727,-0.23692112,no
4201,-0.07364087,-0.56619567,-0.36315495,no
4222,-0.121045135,-0.5155956,-0.23905164,no
4241,0.015308712,-0.30254275,-0.14317784,no
4261,0.11118252,-0.5155956,-0.04251034,no
4282,0.25712374,-0.91400456,0.00808972,no
4301,0.64754313,-1.1446342,0.08638666,no
4321,0.5703115,-1.2394428,0.049102403,no
4342,0.5607241,-0.8847098,-0.045706134,no
4361,0.29067957,-0.33023962,-0.18525578,no
4382,-0.20147261,-0.17897207,-0.2534327,no
4401,-0.54395515,-0.48789877,-0.46755084,no
4422,-0.26698637,-0.61626315,-0.5293362,no
4441,0.05845192,-0.41705868,-0.43825608,no
4461,0.3721723,-0.008529746,-0.24757376,no
